contrastive,env_steps,iter,kl,mode,recon,return,reward,seed
1.6284129619598389,57600,59,2.703850030899048,contrastive,,-42.674381256103516,0.006589845288544893,0
,960,0,,model-free (recurrent PG),,-38.82069396972656,,0
,10560,10,,model-free (recurrent PG),,-34.106956481933594,,0
,20160,20,,model-free (recurrent PG),,-34.63351821899414,,0
,29760,30,,model-free (recurrent PG),,-36.10227966308594,,0
,39360,40,,model-free (recurrent PG),,-37.729976654052734,,0
,48960,50,,model-free (recurrent PG),,-38.12859344482422,,0
,58560,60,,model-free (recurrent PG),,-35.42121124267578,,0
,68160,70,,model-free (recurrent PG),,-35.80940246582031,,0
,77760,80,,model-free (recurrent PG),,-37.71128463745117,,0
,87360,90,,model-free (recurrent PG),,-35.23914337158203,,0
,96960,100,,model-free (recurrent PG),,-37.626441955566406,,0
,106560,110,,model-free (recurrent PG),,-35.29426193237305,,0
,116160,120,,model-free (recurrent PG),,-39.19633483886719,,0
,125760,130,,model-free (recurrent PG),,-33.65730667114258,,0
,135360,140,,model-free (recurrent PG),,-39.37230682373047,,0
,144960,150,,model-free (recurrent PG),,-38.17098617553711,,0
,154560,160,,model-free (recurrent PG),,-33.49855041503906,,0
,164160,170,,model-free (recurrent PG),,-33.611083984375,,0
,173760,180,,model-free (recurrent PG),,-33.99197769165039,,0
,183360,190,,model-free (recurrent PG),,-38.32543182373047,,0
,192960,200,,model-free (recurrent PG),,-34.557525634765625,,0
,202560,210,,model-free (recurrent PG),,-38.4334716796875,,0
,212160,220,,model-free (recurrent PG),,-38.94196319580078,,0
,221760,230,,model-free (recurrent PG),,-33.446537017822266,,0
,231360,240,,model-free (recurrent PG),,-37.94288635253906,,0
,240960,250,,model-free (recurrent PG),,-37.230098724365234,,0
,250560,260,,model-free (recurrent PG),,-40.75273132324219,,0
,260160,270,,model-free (recurrent PG),,-34.98424530029297,,0
,269760,280,,model-free (recurrent PG),,-38.242488861083984,,0
,279360,290,,model-free (recurrent PG),,-38.06534194946289,,0
,288960,300,,model-free (recurrent PG),,-38.974491119384766,,0
,298560,310,,model-free (recurrent PG),,-41.39704895019531,,0
,308160,320,,model-free (recurrent PG),,-35.684669494628906,,0
,317760,330,,model-free (recurrent PG),,-38.12432861328125,,0
,327360,340,,model-free (recurrent PG),,-37.07829284667969,,0
,336960,350,,model-free (recurrent PG),,-40.08135986328125,,0
,346560,360,,model-free (recurrent PG),,-37.500274658203125,,0
,356160,370,,model-free (recurrent PG),,-37.703147888183594,,0
,365760,380,,model-free (recurrent PG),,-36.28433609008789,,0
,375360,390,,model-free (recurrent PG),,-35.145111083984375,,0
,384000,399,,model-free (recurrent PG),,-40.025245666503906,,0
,960,0,0.6946194767951965,recon (Dreamer style),0.29872927069664,-39.200653076171875,0.06626134365797043,1
,5760,5,1.9034448862075806,recon (Dreamer style),0.022026024758815765,-38.30223846435547,0.02736322022974491,1
,10560,10,1.7979562282562256,recon (Dreamer style),0.016070213168859482,-36.016090393066406,0.01371440663933754,1
,15360,15,2.5178678035736084,recon (Dreamer style),0.008285841904580593,-33.150604248046875,0.012186995707452297,1
,20160,20,2.7520511150360107,recon (Dreamer style),0.00857523363083601,-30.416839599609375,0.006692946422845125,1
,24960,25,3.1622140407562256,recon (Dreamer style),0.0036758226342499256,-32.59380340576172,0.007958982139825821,1
,29760,30,3.772076368331909,recon (Dreamer style),0.005714798346161842,-32.168212890625,0.006118434015661478,1
,34560,35,2.2459568977355957,recon (Dreamer style),0.006541319191455841,-33.90861511230469,0.0030131000094115734,1
,39360,40,3.0026473999023438,recon (Dreamer style),0.0025337275583297014,-34.640289306640625,0.002804344752803445,1
,44160,45,2.287330389022827,recon (Dreamer style),0.00148585659917444,-37.96196746826172,0.0030223221983760595,1
,48960,50,3.1399476528167725,recon (Dreamer style),0.002465025521814823,-36.22731399536133,0.0042467075400054455,1
,53760,55,2.927793264389038,recon (Dreamer style),0.0015590389957651496,-40.62091064453125,0.004062353633344173,1
,57600,59,2.9321420192718506,recon (Dreamer style),0.0020042809192091227,-40.919822692871094,0.0037476741708815098,1
,960,0,0.390699177980423,no-recon (MuZero style),,-39.682491302490234,0.07250650972127914,1
,5760,5,1.2934178113937378,no-recon (MuZero style),,-40.57429504394531,0.04600236564874649,1
,10560,10,2.2024734020233154,no-recon (MuZero style),,-38.85369873046875,0.03328942507505417,1
,15360,15,2.486952781677246,no-recon (MuZero style),,-39.68907165527344,0.01597207598388195,1
,20160,20,2.804253339767456,no-recon (MuZero style),,-39.443626403808594,0.0189304631203413,1
,24960,25,2.563230037689209,no-recon (MuZero style),,-39.42913055419922,0.014734271913766861,1
,29760,30,2.3814685344696045,no-recon (MuZero style),,-39.602272033691406,0.0072154998779296875,1
,34560,35,3.0415759086608887,no-recon (MuZero style),,-39.261695861816406,0.006699433084577322,1
,39360,40,2.4580650329589844,no-recon (MuZero style),,-39.051048278808594,0.0037940628826618195,1
,44160,45,2.901355028152466,no-recon (MuZero style),,-39.0645866394043,0.002895497251302004,1
,48960,50,1.8761563301086426,no-recon (MuZero style),,-39.108131408691406,0.0021959359291940928,1
,53760,55,2.102332592010498,no-recon (MuZero style),,-39.171897888183594,0.003193708835169673,1
,57600,59,1.85285484790802,no-recon (MuZero style),,-39.167259216308594,0.002077691722661257,1
2.7765591144561768,960,0,0.8065204620361328,contrastive,,-40.26390838623047,0.09500933438539505,1
1.8017828464508057,5760,5,2.0177552700042725,contrastive,,-40.61017608642578,0.01967618800699711,1
1.775850772857666,10560,10,2.4280076026916504,contrastive,,-40.622589111328125,0.00874813087284565,1
1.730926752090454,15360,15,2.501993417739868,contrastive,,-40.61142349243164,0.012932119891047478,1
1.7241660356521606,20160,20,2.562744140625,contrastive,,-40.604251861572266,0.008199656382203102,1
1.8891594409942627,24960,25,3.7236971855163574,contrastive,,-40.60950469970703,0.006482085678726435,1
1.7560395002365112,29760,30,2.506417989730835,contrastive,,-40.618350982666016,0.004824471659958363,1
1.7183481454849243,34560,35,2.5888209342956543,contrastive,,-40.608192443847656,0.003456474281847477,1
1.6975138187408447,39360,40,3.491511583328247,contrastive,,-40.612571716308594,0.004068591166287661,1
1.6955032348632812,44160,45,2.4696907997131348,contrastive,,-40.61369705200195,0.003473211545497179,1
1.6579309701919556,48960,50,2.22233247756958,contrastive,,-40.615089416503906,0.0022593429312109947,1
1.7529603242874146,53760,55,2.758030414581299,contrastive,,-40.607582092285156,0.002833426231518388,1
1.6956887245178223,57600,59,2.3374733924865723,contrastive,,-40.60732650756836,0.002742920769378543,1
,960,0,,model-free (recurrent PG),,-34.72552490234375,,1
,10560,10,,model-free (recurrent PG),,-36.68196105957031,,1
,20160,20,,model-free (recurrent PG),,-38.73021697998047,,1
,29760,30,,model-free (recurrent PG),,-40.88887023925781,,1
,39360,40,,model-free (recurrent PG),,-37.462974548339844,,1
,48960,50,,model-free (recurrent PG),,-43.15460205078125,,1
,58560,60,,model-free (recurrent PG),,-41.16340637207031,,1
,68160,70,,model-free (recurrent PG),,-29.84481430053711,,1
,77760,80,,model-free (recurrent PG),,-35.012001037597656,,1
,87360,90,,model-free (recurrent PG),,-35.12721252441406,,1
,96960,100,,model-free (recurrent PG),,-36.23282241821289,,1
,106560,110,,model-free (recurrent PG),,-39.114463806152344,,1
,116160,120,,model-free (recurrent PG),,-35.7104377746582,,1
,125760,130,,model-free (recurrent PG),,-35.080604553222656,,1
,135360,140,,model-free (recurrent PG),,-40.292232513427734,,1
,144960,150,,model-free (recurrent PG),,-31.656665802001953,,1
,154560,160,,model-free (recurrent PG),,-33.894309997558594,,1
,164160,170,,model-free (recurrent PG),,-39.50898742675781,,1
,173760,180,,model-free (recurrent PG),,-39.45934295654297,,1
,183360,190,,model-free (recurrent PG),,-35.954627990722656,,1
,192960,200,,model-free (recurrent PG),,-36.4091796875,,1
,202560,210,,model-free (recurrent PG),,-37.00948715209961,,1
,212160,220,,model-free (recurrent PG),,-37.313987731933594,,1
,221760,230,,model-free (recurrent PG),,-35.098915100097656,,1
,231360,240,,model-free (recurrent PG),,-35.01872634887695,,1
,240960,250,,model-free (recurrent PG),,-36.89262008666992,,1
,250560,260,,model-free (recurrent PG),,-37.55459213256836,,1
,260160,270,,model-free (recurrent PG),,-39.19141387939453,,1
,269760,280,,model-free (recurrent PG),,-39.79545974731445,,1
,279360,290,,model-free (recurrent PG),,-36.56830596923828,,1
,288960,300,,model-free (recurrent PG),,-35.31481170654297,,1
,298560,310,,model-free (recurrent PG),,-36.55253601074219,,1
,308160,320,,model-free (recurrent PG),,-34.92383575439453,,1
,317760,330,,model-free (recurrent PG),,-38.437538146972656,,1
,327360,340,,model-free (recurrent PG),,-37.328983306884766,,1
,336960,350,,model-free (recurrent PG),,-40.59213638305664,,1
,346560,360,,model-free (recurrent PG),,-40.52601623535156,,1
,356160,370,,model-free (recurrent PG),,-34.217803955078125,,1
,365760,380,,model-free (recurrent PG),,-33.9608154296875,,1
,375360,390,,model-free (recurrent PG),,-39.884765625,,1
,384000,399,,model-free (recurrent PG),,-34.94379425048828,,1
,960,0,0.544234573841095,recon (Dreamer style),0.3264155685901642,-39.30957794189453,0.11521212011575699,2
,5760,5,2.3518269062042236,recon (Dreamer style),0.02229115180671215,-35.658119201660156,0.02539629489183426,2
,10560,10,2.6138856410980225,recon (Dreamer style),0.014617295935750008,-34.91923904418945,0.017339961603283882,2
,15360,15,2.250804901123047,recon (Dreamer style),0.00515973474830389,-30.765926361083984,0.008910557255148888,2
,20160,20,2.4128763675689697,recon (Dreamer style),0.005812301300466061,-33.39649963378906,0.007719278335571289,2
,24960,25,3.526890754699707,recon (Dreamer style),0.020957672968506813,-38.64292907714844,0.007545883767306805,2
,29760,30,2.6064441204071045,recon (Dreamer style),0.003148003714159131,-38.29832458496094,0.004601652268320322,2
,34560,35,2.0759997367858887,recon (Dreamer style),0.012083309702575207,-38.00090408325195,0.003796178614720702,2
,39360,40,2.346937656402588,recon (Dreamer style),0.013860774226486683,-37.584964752197266,0.004653453826904297,2
,44160,45,2.45863676071167,recon (Dreamer style),0.007946821860969067,-37.46039581298828,0.004448902793228626,2
,48960,50,2.4868855476379395,recon (Dreamer style),0.0011832679156213999,-39.50257873535156,0.003625747747719288,2
,53760,55,2.6474385261535645,recon (Dreamer style),0.006675374694168568,-39.59435272216797,0.004550741519778967,2
,57600,59,2.3395180702209473,recon (Dreamer style),0.0031020683236420155,-36.783939361572266,0.0030905241146683693,2
,960,0,0.16608145833015442,no-recon (MuZero style),,-39.805572509765625,0.12959246337413788,2
,5760,5,1.0314257144927979,no-recon (MuZero style),,-34.77754211425781,0.058092378079891205,2
,10560,10,1.9316869974136353,no-recon (MuZero style),,-31.37853240966797,0.03657863289117813,2
,15360,15,2.008974075317383,no-recon (MuZero style),,-32.04011535644531,0.013434668071568012,2
,20160,20,1.8193765878677368,no-recon (MuZero style),,-28.034149169921875,0.009347856044769287,2
,24960,25,2.2631235122680664,no-recon (MuZero style),,-36.07352066040039,0.0067609460093081,2
,29760,30,1.9286307096481323,no-recon (MuZero style),,-32.805076599121094,0.004282308276742697,2
,34560,35,1.8731025457382202,no-recon (MuZero style),,-32.1252555847168,0.004557148087769747,2
,39360,40,2.099483013153076,no-recon (MuZero style),,-33.63159942626953,0.0035242396406829357,2
,44160,45,2.1048214435577393,no-recon (MuZero style),,-38.53446960449219,0.0033067194744944572,2
