mode,reward_mae,seed,step
recon (Dreamer style),0.17812755703926086,1,26
recon (Dreamer style),0.18997128307819366,1,27
recon (Dreamer style),0.20659248530864716,1,28
recon (Dreamer style),0.225337415933609,1,29
recon (Dreamer style),0.23801106214523315,1,30
recon (Dreamer style),0.24075435101985931,1,31
recon (Dreamer style),0.2350272685289383,1,32
recon (Dreamer style),0.23061814904212952,1,33
recon (Dreamer style),0.2406548261642456,1,34
recon (Dreamer style),0.255489319562912,1,35
recon (Dreamer style),0.2757311463356018,1,36
recon (Dreamer style),0.29261350631713867,1,37
recon (Dreamer style),0.30285608768463135,1,38
recon (Dreamer style),0.2996407747268677,1,39
recon (Dreamer style),0.2869890034198761,1,40
no-recon (MuZero style),0.08894889056682587,1,1
no-recon (MuZero style),0.09219416975975037,1,2
no-recon (MuZero style),0.09277094155550003,1,3
no-recon (MuZero style),0.09667139500379562,1,4
no-recon (MuZero style),0.10326103866100311,1,5
no-recon (MuZero style),0.11264798045158386,1,6
no-recon (MuZero style),0.1292710155248642,1,7
no-recon (MuZero style),0.1417447179555893,1,8
no-recon (MuZero style),0.16142815351486206,1,9
no-recon (MuZero style),0.18825578689575195,1,10
no-recon (MuZero style),0.22199420630931854,1,11
no-recon (MuZero style),0.25516796112060547,1,12
no-recon (MuZero style),0.2871650457382202,1,13
no-recon (MuZero style),0.31514349579811096,1,14
no-recon (MuZero style),0.3318411409854889,1,15
no-recon (MuZero style),0.3443295955657959,1,16
no-recon (MuZero style),0.3498924970626831,1,17
no-recon (MuZero style),0.34803536534309387,1,18
no-recon (MuZero style),0.32976412773132324,1,19
no-recon (MuZero style),0.3028888404369354,1,20
no-recon (MuZero style),0.287563294172287,1,21
no-recon (MuZero style),0.30715566873550415,1,22
no-recon (MuZero style),0.33027440309524536,1,23
no-recon (MuZero style),0.33842551708221436,1,24
no-recon (MuZero style),0.3416849970817566,1,25
no-recon (MuZero style),0.3337448835372925,1,26
no-recon (MuZero style),0.32520192861557007,1,27
no-recon (MuZero style),0.30547085404396057,1,28
no-recon (MuZero style),0.29995542764663696,1,29
no-recon (MuZero style),0.3040173053741455,1,30
no-recon (MuZero style),0.3087552785873413,1,31
no-recon (MuZero style),0.32332342863082886,1,32
no-recon (MuZero style),0.3510744869709015,1,33
no-recon (MuZero style),0.3788394331932068,1,34
no-recon (MuZero style),0.4004378616809845,1,35
no-recon (MuZero style),0.40867993235588074,1,36
no-recon (MuZero style),0.4154140055179596,1,37
no-recon (MuZero style),0.40284526348114014,1,38
no-recon (MuZero style),0.38621124625205994,1,39
no-recon (MuZero style),0.37492644786834717,1,40
contrastive,0.11893258988857269,1,1
contrastive,0.12424488365650177,1,2
contrastive,0.1273103505373001,1,3
contrastive,0.13603121042251587,1,4
contrastive,0.1494879126548767,1,5
contrastive,0.15726566314697266,1,6
contrastive,0.1717505007982254,1,7
contrastive,0.19233641028404236,1,8
contrastive,0.22459426522254944,1,9
contrastive,0.25888878107070923,1,10
contrastive,0.29344314336776733,1,11
contrastive,0.32860419154167175,1,12
contrastive,0.36170417070388794,1,13
contrastive,0.37839844822883606,1,14
contrastive,0.40161338448524475,1,15
contrastive,0.40465980768203735,1,16
contrastive,0.41822296380996704,1,17
contrastive,0.4204106330871582,1,18
contrastive,0.40328121185302734,1,19
contrastive,0.38458800315856934,1,20
contrastive,0.36870819330215454,1,21
contrastive,0.38496285676956177,1,22
contrastive,0.39294886589050293,1,23
contrastive,0.3890509009361267,1,24
contrastive,0.37628108263015747,1,25
contrastive,0.3847234845161438,1,26
contrastive,0.3923932909965515,1,27
contrastive,0.381534606218338,1,28
contrastive,0.36612001061439514,1,29
contrastive,0.3524780869483948,1,30
contrastive,0.3427959680557251,1,31
contrastive,0.33318477869033813,1,32
contrastive,0.3443128764629364,1,33
contrastive,0.37108802795410156,1,34
contrastive,0.415049284696579,1,35
contrastive,0.4835163950920105,1,36
contrastive,0.5388343334197998,1,37
contrastive,0.576376736164093,1,38
contrastive,0.5811893343925476,1,39
contrastive,0.572222113609314,1,40
recon (Dreamer style),0.04389716684818268,2,1
recon (Dreamer style),0.04388990253210068,2,2
recon (Dreamer style),0.04634612053632736,2,3
recon (Dreamer style),0.050210099667310715,2,4
recon (Dreamer style),0.057837046682834625,2,5
recon (Dreamer style),0.06859642267227173,2,6
recon (Dreamer style),0.07151351869106293,2,7
recon (Dreamer style),0.08757541328668594,2,8
recon (Dreamer style),0.10183309018611908,2,9
recon (Dreamer style),0.12028038501739502,2,10
recon (Dreamer style),0.13897612690925598,2,11
recon (Dreamer style),0.15223942697048187,2,12
recon (Dreamer style),0.17178910970687866,2,13
recon (Dreamer style),0.20698615908622742,2,14
recon (Dreamer style),0.23104135692119598,2,15
recon (Dreamer style),0.25022566318511963,2,16
recon (Dreamer style),0.252933531999588,2,17
recon (Dreamer style),0.24815109372138977,2,18
recon (Dreamer style),0.23233824968338013,2,19
recon (Dreamer style),0.2230389565229416,2,20
recon (Dreamer style),0.23644496500492096,2,21
recon (Dreamer style),0.2586170434951782,2,22
recon (Dreamer style),0.2807024121284485,2,23
recon (Dreamer style),0.28801238536834717,2,24
recon (Dreamer style),0.28414827585220337,2,25
recon (Dreamer style),0.28444957733154297,2,26
recon (Dreamer style),0.28638648986816406,2,27
recon (Dreamer style),0.2770160734653473,2,28
recon (Dreamer style),0.2716343104839325,2,29
recon (Dreamer style),0.2658490538597107,2,30
recon (Dreamer style),0.2634645104408264,2,31
recon (Dreamer style),0.25696471333503723,2,32
recon (Dreamer style),0.2624536454677582,2,33
recon (Dreamer style),0.2652236223220825,2,34
recon (Dreamer style),0.2782883644104004,2,35
recon (Dreamer style),0.2931525707244873,2,36
recon (Dreamer style),0.30545157194137573,2,37
recon (Dreamer style),0.3081342279911041,2,38
recon (Dreamer style),0.31190750002861023,2,39
recon (Dreamer style),0.31654757261276245,2,40
no-recon (MuZero style),0.05894184112548828,2,1
no-recon (MuZero style),0.058637648820877075,2,2
no-recon (MuZero style),0.06313960254192352,2,3
no-recon (MuZero style),0.06800293922424316,2,4
no-recon (MuZero style),0.07155059278011322,2,5
no-recon (MuZero style),0.07922268658876419,2,6
no-recon (MuZero style),0.08664125204086304,2,7
no-recon (MuZero style),0.09743082523345947,2,8
no-recon (MuZero style),0.0914965569972992,2,9
no-recon (MuZero style),0.09947272390127182,2,10
no-recon (MuZero style),0.10154978930950165,2,11
no-recon (MuZero style),0.11802635341882706,2,12
no-recon (MuZero style),0.1339460164308548,2,13
no-recon (MuZero style),0.1504228711128235,2,14
no-recon (MuZero style),0.16315791010856628,2,15
no-recon (MuZero style),0.17962047457695007,2,16
no-recon (MuZero style),0.1967155933380127,2,17
no-recon (MuZero style),0.2090243697166443,2,18
no-recon (MuZero style),0.21073214709758759,2,19
no-recon (MuZero style),0.21422800421714783,2,20
no-recon (MuZero style),0.21787741780281067,2,21
no-recon (MuZero style),0.2177291214466095,2,22
no-recon (MuZero style),0.2229064404964447,2,23
no-recon (MuZero style),0.24096490442752838,2,24
no-recon (MuZero style),0.25091803073883057,2,25
no-recon (MuZero style),0.2550143599510193,2,26
no-recon (MuZero style),0.2515668272972107,2,27
no-recon (MuZero style),0.24257874488830566,2,28
no-recon (MuZero style),0.23429401218891144,2,29
no-recon (MuZero style),0.20390208065509796,2,30
no-recon (MuZero style),0.1896713674068451,2,31
no-recon (MuZero style),0.19783610105514526,2,32
no-recon (MuZero style),0.22706496715545654,2,33
no-recon (MuZero style),0.2514458894729614,2,34
no-recon (MuZero style),0.27209365367889404,2,35
no-recon (MuZero style),0.2793689966201782,2,36
no-recon (MuZero style),0.28566306829452515,2,37
no-recon (MuZero style),0.2824695408344269,2,38
no-recon (MuZero style),0.2775399386882782,2,39
no-recon (MuZero style),0.2748715877532959,2,40
contrastive,0.1058075800538063,2,1
contrastive,0.10147812962532043,2,2
contrastive,0.10123968124389648,2,3
contrastive,0.10059057176113129,2,4
contrastive,0.10343760251998901,2,5
contrastive,0.11316698044538498,2,6
contrastive,0.1299356073141098,2,7
contrastive,0.15209878981113434,2,8
contrastive,0.1628534495830536,2,9
contrastive,0.18489855527877808,2,10
contrastive,0.21053068339824677,2,11
contrastive,0.2383221983909607,2,12
contrastive,0.2514048218727112,2,13
contrastive,0.26651689410209656,2,14
contrastive,0.27990517020225525,2,15
contrastive,0.3030248284339905,2,16
contrastive,0.31545591354370117,2,17
contrastive,0.305449515581131,2,18
contrastive,0.27895861864089966,2,19
contrastive,0.2561489939689636,2,20
contrastive,0.2333691120147705,2,21
contrastive,0.2223764955997467,2,22
contrastive,0.21236035227775574,2,23
contrastive,0.20972025394439697,2,24
contrastive,0.22035439312458038,2,25
contrastive,0.23368659615516663,2,26
contrastive,0.2347688376903534,2,27
contrastive,0.23317348957061768,2,28
contrastive,0.24260422587394714,2,29
contrastive,0.2424757480621338,2,30
contrastive,0.24672673642635345,2,31
contrastive,0.2519345283508301,2,32
contrastive,0.24811068177223206,2,33
contrastive,0.24452082812786102,2,34
contrastive,0.24952217936515808,2,35
contrastive,0.25664159655570984,2,36
contrastive,0.2616567015647888,2,37
contrastive,0.2516023814678192,2,38
contrastive,0.2531011402606964,2,39
contrastive,0.26877903938293457,2,40
